t, v, y backward, y forward, y leapfrog, y leapfrog early, y analytical
0,-0.0981,0.999019,1,0.99951,0.99951,1
0.01,-0.1962,0.997057,0.999019,0.998038,0.998038,0.99951
0.02,-0.2943,0.994114,0.997057,0.995586,0.995586,0.998038
0.03,-0.3924,0.99019,0.994114,0.992152,0.992152,0.995586
0.04,-0.4905,0.985285,0.99019,0.987738,0.987738,0.992152
0.05,-0.5886,0.979399,0.985285,0.982342,0.982342,0.987738
0.06,-0.6867,0.972532,0.979399,0.975966,0.975966,0.982342
0.07,-0.7848,0.964684,0.972532,0.968608,0.968608,0.975966
0.08,-0.8829,0.955855,0.964684,0.96027,0.96027,0.968608
0.09,-0.981,0.946045,0.955855,0.95095,0.95095,0.960269
0.1,-1.0791,0.935254,0.946045,0.94065,0.94065,0.95095
0.11,-1.1772,0.923482,0.935254,0.929368,0.929368,0.94065
0.12,-1.2753,0.910729,0.923482,0.917106,0.917106,0.929368
0.13,-1.3734,0.896995,0.910729,0.903862,0.903862,0.917106
0.14,-1.4715,0.88228,0.896995,0.889638,0.889638,0.903862
0.15,-1.5696,0.866584,0.88228,0.874432,0.874432,0.889637
0.16,-1.6677,0.849907,0.866584,0.858246,0.858246,0.874432
0.17,-1.7658,0.832249,0.849907,0.841078,0.841078,0.858245
0.18,-1.8639,0.81361,0.832249,0.82293,0.82293,0.841078
0.19,-1.962,0.79399,0.81361,0.8038,0.8038,0.822929
0.2,-2.0601,0.773389,0.79399,0.78369,0.78369,0.8038
0.21,-2.1582,0.751807,0.773389,0.762598,0.762598,0.78369
0.22,-2.2563,0.729244,0.751807,0.740525,0.740525,0.762598
0.23,-2.3544,0.7057,0.729244,0.717472,0.717472,0.740525
0.24,-2.4525,0.681175,0.7057,0.693437,0.693437,0.717472
0.25,-2.5506,0.655669,0.681175,0.668422,0.668422,0.693437
0.26,-2.6487,0.629182,0.655669,0.642425,0.642425,0.668422
0.27,-2.7468,0.601714,0.629182,0.615448,0.615448,0.642425
0.28,-2.8449,0.573265,0.601714,0.587489,0.587489,0.615448
0.29,-2.943,0.543835,0.573265,0.55855,0.55855,0.587489
0.3,-3.0411,0.513424,0.543835,0.528629,0.528629,0.55855
0.31,-3.1392,0.482032,0.513424,0.497728,0.497728,0.528629
0.32,-3.2373,0.449659,0.482032,0.465845,0.465845,0.497728
0.33,-3.3354,0.416305,0.449659,0.432982,0.432982,0.465845
0.34,-3.4335,0.38197,0.416305,0.399137,0.399137,0.432982
0.35,-3.5316,0.346654,0.38197,0.364312,0.364312,0.399137
0.36,-3.6297,0.310357,0.346654,0.328505,0.328505,0.364312
0.37,-3.7278,0.273079,0.310357,0.291718,0.291718,0.328506
0.38,-3.8259,0.23482,0.273079,0.253949,0.253949,0.291718
0.39,-3.924,0.19558,0.23482,0.2152,0.2152,0.253949
0.4,-4.0221,0.155359,0.19558,0.175469,0.175469,0.2152
0.41,-4.1202,0.114157,0.155359,0.134758,0.134758,0.175469
0.42,-4.2183,0.071974,0.114157,0.0930655,0.0930655,0.134758
0.43,-4.3164,0.02881,0.071974,0.050392,0.050392,0.0930655
0.44,-4.4145,-0.015335,0.02881,0.0067375,0.0067375,0.050392
0.45,-4.5126,-0.060461,-0.015335,-0.037898,-0.037898,0.0067375
0.46,-4.6107,-0.106568,-0.060461,-0.0835145,-0.0835145,-0.037898
0.47,-4.7088,-0.153656,-0.106568,-0.130112,-0.130112,-0.0835145
0.48,-4.8069,-0.201725,-0.153656,-0.177691,-0.177691,-0.130112
0.49,-4.905,-0.250775,-0.201725,-0.22625,-0.22625,-0.17769
